name;type;price;fuel-type;year_of_make;kim;power;place
Chevrolet;Cruze;5799;Diesel;2012;157760;120;5
Volkswagen;Golf;5700;Benzín;2012;280000;77;0 (5 miest)
Mercedes;C trieda Sportcoupé;5699;Benzín;2006;196351;120;3 (4 miesta)
Suzuki;SX4;5650;Benzín+Plyn;2008;164011;79;5 (5 miest)
Škoda;Octavia Combi;5650;Diesel;2008;216000;125;1Z
Opel;Corsa;5500;Benzín;2014;98000;63;D mod.11
Hyundai;i30;5500;Benzín;2012;181000;80;FD mod.10
Citroen;C4;5500;Diesel;2012;300000;82;NC
Škoda;Octavia Combi;5500;Benzín;2010;240000;118;1Z mod.09
Nissan;Juke;5500;Diesel;2010;166000;81;F15
Nissan;Murano;5500;Benzín;2010;242000;188;Z51
Fiat;500;5499;Benzín;2012;189000;51;312
BMW;rad 3 Touring;7000;Diesel;2007;296766;170;E91
Suzuki;Jimny;7000;Benzín;1999;215322;59;FJ
Volkswagen;Tiguan;6999;Diesel;2010;264092;103;5 (5 miest)
Opel;Combo Tour;6999;Diesel;2017;107411;66;5 (5 miest)
Ford;Focus Combi;6999;Diesel;2014;186489;85;III
Ford;Galaxy;6990;Diesel;2008;212895;85;WA6
Lada;2106;6990;Benzín;1991;73600;57;5 (5 miest)
Škoda;Citigo;6990;Benzín;2018;158576;55;3 (4 miesta)
Volkswagen;Passat Variant;6990;Diesel;2012;342744;103;B7
Škoda;Rapid;6990;Diesel;2017;193501;66;5
Citroen;Jumper;8300;Diesel;2011;262000;96;X2/50
Škoda;Superb;8299;Diesel;2011;181166;77;5
Mini;Countryman;8298;Diesel;2012;166500;82;R60
Mitsubishi;Pajero;8200;Diesel;2006;216000;118;V60 mod. 03
Volkswagen;T6 Transporter;8000;Diesel;2015;357000;103;5 (3 miesta)
Seat;Alhambra;8000;Diesel;2008;202000;103;7M mod.01
Opel;Insignia ST;7999;Diesel;2010;87041;118;5 (5 miest)
Opel;Astra;7990;Diesel;2015;189000;121;J mod.12
Škoda;Fabia Combi;9299;Benzín;2019;187405;55;NJ
Land Rover;Range Rover Sport;9000;Diesel;2013;345000;188;LS
BMW;rad 3;9000;Diesel;2013;300000;105;F30
Renault;Kangoo;9000;Diesel;2018;106871;66;4
Škoda;Octavia;9000;Benzín;2010;269700;147;1Z mod.09
BMW;rad 1;8999;Diesel;2014;143180;85;5 (5 miest)
Volkswagen;Touran;8999;Benzín;2011;188560;103;1T mod.10
Ford;Focus;8999;Benzín;2017;72545;74;5
Škoda;Octavia Combi;8990;Diesel;2014;231000;110;5E
KIA;Cee’d;8990;Benzín;2014;110000;99;5 (5 miest)
Volkswagen;Touran;8980;Diesel;2012;197000;77;1T mod.10
Citroen;C3;9990;Diesel;2017;166835;55;5 (5 miest)
Honda;CR-V;9989;Diesel;2013;339000;110;RE mod.10
Škoda;Fabia;9900;Benzín;2018;39198;55;5
Toyota;Yaris;9900;Benzín;2014;55000;73;5 (5 miest)
BMW;rad 5;9900;Diesel;2013;262543;135;F10
Škoda;Octavia;9900;Benzín;2013;170199;103;5E
Audi;A4 Avant;9900;Diesel;2011;219500;125;8K5
Opel;Corsa-e;9900;Benzín;2018;131612;66;5 (5 miest)
Toyota;Landcruiser;9900;Diesel;2001;299000;120;J8/J9
Honda;Civic;9900;Benzín;2014;142000;104;FK
Land Rover;Range Rover Sport;9900;Diesel;2009;205487;140;5
KIA;Sportage;9900;Diesel;2011;179400;85;SL
BMW;rad 1;10990;Benzín;2012;81829;100;F21
KIA;Cee’d;10900;Diesel;2017;83658;66;5 (5 miest)
Audi;TT;10900;Benzín;2010;131589;118;2 (4 miesta)
Renault;Trafic Combi;10800;Diesel;2013;219000;84;L mod.06
Renault;Clio;10800;Benzín;2019;20500;66;5R mod.16
Hyundai;ix35;10800;Diesel;2010;225000;100;EL
Volkswagen;Passat Variant;10700;Diesel;2012;205000;103;B7
Audi;A4;10700;Diesel;2012;187400;105;8K2
Škoda;Superb Combi;11990;Diesel;2015;238000;88;3V
Seat;Leon ST;11870;Diesel;2019;159100;85;5F mod.16
Hyundai;i30 CW;11699;Diesel;2020;43201;85;5 (5 miest)
Škoda;Octavia Combi;11680;Diesel;2018;170000;85;5E mod.16
Volkswagen;Passat;11500;Diesel;2013;277865;103;B7
Audi;A4 Avant;11500;Diesel;2013;265000;100;8K5
Volkswagen;Caddy;11500;Diesel;2015;69500;55;4 (5 miest)
Mercedes;C trieda;11500;Diesel;2013;205951;125;5 (5 miest)
Volkswagen;Touran;11500;Diesel;2012;235000;103;1T mod.10
Peugeot;Partner Tepee;11500;Diesel;2016;107337;73;5 (5 miest)
Hyundai;i30;11500;Benzín;2018;89300;88;PD
Volkswagen;Golf;11499;Benzín;2013;132386;103;5
KIA;Rio;12500;Benzín;2020;46000;61;5 (5 miest)
Seat;Leon;12499;Diesel;2013;218700;110;5F
Volkswagen;Golf Variant;12499;Diesel;2015;151990;110;5
Škoda;Octavia;12499;Diesel;2018;182915;85;5
Škoda;Octavia Combi;12490;Diesel;2017;130467;110;5
Volkswagen;Passat Variant;12440;Diesel;2015;232000;88;B8
Škoda;Octavia Combi;12400;Diesel;2016;190500;81;5E
Mercedes;CLK Coupé;12399;Benzín+Plyn;2002;309464;225;3 (4 miesta)
BMW;rad 5 Touring;12300;Diesel;2012;268000;160;F11
Ford;Kuga;13000;Diesel;2016;145000;110;DM2 mod.13
Audi;Coupe;13000;Benzín;2013;420000;245;3 (4 miesta)
BMW;rad 5;13000;Diesel;2012;251000;160;F10
Citroen;Jumper;13000;Diesel;2017;185000;81;mod.14
Peugeot;308 SW;13000;Diesel;2018;160950;110;5
KIA;Sorento;12999;Benzín;2013;164667;141;5 (5 miest)
BMW;rad 7;12999;Diesel;2010;230000;180;F01/F02
Volkswagen;CC;12999;Diesel;2012;185378;103;5
Ford;S-Max;12990;Diesel;2015;233850;120;WA6 mod.10
Audi;A4 Allroad;12990;Diesel;2012;93860;150;8KH
Škoda;Octavia;12990;Diesel;2019;170199;85;5
Mercedes;Vito;13990;Diesel;2017;255000;100;W447
Fiat;Ducato;13950;Diesel;2017;150508;85;2.0 Multijet L3H2
Škoda;Octavia Combi;13900;Diesel;2018;94943;85;5
Honda;CR-V;13900;Benzín;2013;103000;114;RM
Škoda;Octavia;13900;Benzín;2019;105262;85;5
Dacia;Duster;13900;Diesel;2019;49517;85;5 (5 miest)
Volkswagen;CC;13899;Diesel;2013;178553;103;4 (4 miesta)
Hyundai;i30 CW;13800;Diesel;2019;125285;85;5
Škoda;Octavia;13800;Benzín;2016;94500;110;5E
Škoda;Octavia;13800;Diesel;2019;132106;85;5
Opel;Vivaro;13799;Diesel;2016;203738;88;4
Peugeot;Expert;13799;Diesel;2018;200148;70;4
Škoda;Octavia;14800;Diesel;2019;108330;85;5
Volvo;V60;14799;Hybrid (diesel/elektro);2015;185000;158;F mod.13
Volkswagen;Passat Variant;14799;Diesel;2015;182766;110;B8
Renault;Grand Scénic;14799;Diesel;2017;164608;81;5
KIA;Cee’d Sporty Wagon;14750;Benzín;2017;97000;99;5 (5 miest)
Škoda;Yeti;14700;Benzín;2015;57000;92;5L mod.14
Škoda;Octavia Combi;14700;Benzín;2020;122050;85;5
Volkswagen;Golf Variant;14699;Diesel;2016;202989;135;5
BMW;X6;14650;Diesel;2009;265000;210;E71
Volvo;V60;14600;Diesel;2017;173625;110;F mod.13
Infiniti;FX;14567;Benzín;2010;280400;242;5 (5 miest)
Audi;A4 Avant;15600;Diesel;2016;194000;160;8W5
Audi;A6;15500;Diesel;2011;260200;180;4G2
Škoda;Octavia Combi;15500;Diesel;2020;162000;110;NX
Audi;Q3;15499;Diesel;2013;120000;103;8UB
Subaru;Outback;15486;Diesel;2015;272078;110;BR mod.13
Škoda;Octavia Combi;15400;Benzín;2019;105555;85;5
Nissan;X-Trail;15300;Diesel;2015;162398;96;T32
Seat;Leon ST;15250;Benzín;2017;81000;110;5F
Audi;Q7;16300;Diesel;2009;282000;176;4LB mod.10
Škoda;Octavia Combi;16199;Diesel;2018;126803;110;5 (5 miest)
Volkswagen;Caddy;16000;Diesel;2016;188000;75;5 (5 miest)
Škoda;Octavia Combi;16000;Diesel;2018;157000;140;5E mod.16
BMW;X5;16000;Diesel;2013;191000;180;E70 mod.10
Ford;Transit Custom;16000;Diesel;2014;203191;92;5 (8 miest)
Hyundai;Tucson;15999;Diesel;2017;121522;104;5
Škoda;Superb Combi;15999;Diesel;2018;189819;88;5 (5 miest)
Mercedes;M trieda;15999;Diesel;2008;283000;257;5 (5 miest)
BMW;rad 5;15999;Diesel;2013;201358;160;4 (5 miest)
BMW;rad 5 Touring;15999;Diesel;2012;178104;230;5
Porsche;Cayenne;15999;Benzín;2007;120570;368;955/957 mod.08
Škoda;Octavia Combi;15999;Diesel;2020;198611;110;NX
Volkswagen;Passat Variant;15999;Diesel;2015;192100;110;5
Toyota;RAV4;15990;Diesel;2014;76000;91;XA3
Renault;Master Minibus;16999;Diesel;2015;125000;81;5 (9 miest)
Volvo;V60;16999;Diesel;2018;168325;140;5
Jeep;Cherokee;16990;Diesel;2016;182000;147;KL
BMW;X6;16990;Diesel;2009;189000;173;E71
Seat;Ateca;16980;Diesel;2019;142300;85;KH
Mazda;CX-3;16900;Benzín;2019;80136;89;mod.18
BMW;X6;16900;Diesel;2011;250000;225;E71
Škoda;Octavia Combi;17990;Benzín;2020;74291;110;5E mod.16
Škoda;Superb Combi;17990;Diesel;2019;174834;110;5 (5 miest)
KIA;Cee’d Sporty Wagon;17990;Diesel;2020;95900;100;5 (5 miest)
Volkswagen;Sharan;17990;Diesel;2016;243162;135;5 (5 miest)
Volkswagen;Touran;17990;Benzín;2018;128465;110;5T
Volkswagen;Golf Variant;17990;Diesel;2019;40460;110;mod.17
Peugeot;Partner;17900;Diesel;2019;85250;96;4 (3 miesta)
Volkswagen;Golf Variant;17900;Diesel;2017;193000;110;5 (5 miest)
Mazda;CX-5;17900;Diesel;2017;75000;129;KE mod.15
Peugeot;Boxer;17900;Diesel;2017;212382;120;2 (3 miesta)
Mazda;CX-5;17890;Diesel;2017;111000;110;KF
Jeep;Cherokee;18950;Diesel;2014;195000;184;WK
Nissan;e-NV200;18900;Elektro;2019;35500;80;4 (2 miesta)
Škoda;Superb Combi;18900;Diesel;2017;164000;110;3V
Land Rover;Discovery;18900;Diesel;2012;265329;188;LR4
Mercedes;GLK;18900;Diesel;2015;172000;125;5 (5 miest)
Jeep;Renegade;18900;Diesel;2018;103325;103;5 (5 miest)
Subaru;Forester;18900;Diesel;2017;141800;108;SJ mod.16
Škoda;Superb;18900;Benzín;2019;155740;110;5
Volkswagen;Touareg;18900;Diesel;2012;205702;180;5 (5 miest)
BMW;rad 5;18900;Diesel;2013;260000;160;F10 mod.13
Volkswagen;Passat Variant;18880;Diesel;2019;112000;110;B8
Volkswagen;Passat Variant;18850;Diesel;2020;155201;110;B8
Volkswagen;Polo;18830;Benzín;2023;5;70;5 (5 miest)
Opel;Insignia;18790;Diesel;2019;124391;125;4
Fiat;Ducato;19900;Diesel;2021;320000;118;295
Škoda;Superb;19900;Diesel;2020;192046;140;3V mod.19
Seat;Ateca;19900;Benzín;2018;171943;140;KH
Fiat;Ducato;19900;Diesel;2021;330000;118;295
Ford;Kuga;19890;Diesel;2017;56600;88;DM2 mod.16
Volkswagen;Golf;19800;Elektro;2019;52300;100;mod. 17
Mercedes;E trieda;19800;Diesel;2014;160906;150;W212 mod.13
Opel;Mokka;19790;Benzín;2022;85;74;5 (5 miest)
Mercedes;200 D;19700;Diesel;2019;277000;118;2019
KIA;Cee’d Sporty Wagon;19699;Benzín;2021;46100;117;CD
Ford;Ranger;20800;Diesel;2016;64192;118;5
Ford;Ranger;20800;Diesel;2016;70105;118;5
Jaguar;E-Pace;20790;Diesel;2019;155480;110;Strieborná
Volkswagen;Polo;20770;Benzín;2023;5000;70;5 (5 miest)
Volkswagen;Polo;20700;Benzín;2023;4;70;5 (5 miest)
Opel;Mokka;20590;Benzín;2022;5000;74;5 (5 miest)
Peugeot;508 SW;20500;Diesel;2020;157840;120;5 (5 miest)
Audi;A3 Sportback;20500;Benzín;2014;29000;103;8VA
Škoda;Superb Combi;20500;Benzín;2017;125000;206;5 (5 miest)
Škoda;Superb;20500;Diesel;2017;150000;140;3V
SsangYong;Tivoli;20500;Benzín;2023;4400;120;mod.19
Škoda;Octavia Combi;20499;Diesel;2017;93000;135;5 (5 miest)
Land Rover;Range Rover Evoque;21975;Diesel;2016;158500;110;5 (5 miest)
KIA;Sportage;21900;Benzín;2019;132000;130;QL mod.18
Mercedes;CLA;21900;Benzín;2017;104200;90;C117 mod.16
Mercedes;E trieda;21900;Diesel;2016;220000;143;W213
Hyundai;i30 Fastback;21800;Hybrid (benzín/elektro);2021;34000;118;PD mod.20
Fiat;Ducato;21800;Diesel;2021;273000;118;295
Volkswagen;Golf Variant;21600;Diesel;2018;107890;135;mod.17
BMW;rad 1;21500;Diesel;2019;198000;85;F40
Fiat;Talento;22990;Diesel;2019;77000;89;4 (6 miest)
Audi;A6;22950;Diesel;2015;118800;140;4G2 mod.15
Nissan;Navara;22900;Diesel;2017;91300;120;D23
BMW;rad 4 Gran Coupé;22900;Diesel;2017;161500;140;F36 mod.17
Škoda;Superb Combi;22900;Diesel;2017;84302;140;3V
Peugeot;Boxer;22700;Diesel;2020;190000;121;Y mod.14
Kia;Sportage;22690;Diesel;;4;73;Béžová metalíza
Toyota;RAV4;22500;Hybrid (benzín/elektro);2018;141750;114;XA3 mod.16
